GAME_ID,PERIOD,HOME_STARTERS,AWAY_STARTERS
22400015,1,"101108, 203084, 1630577, 1641705, 1642264","2544, 203076, 1629629, 1630559, 1642261"
22400015,2,"101108, 1630572, 1630577, 1631103, 1641705","2544, 1626156, 1629216, 1631108, 1631132"
22400015,3,"101108, 203084, 1630577, 1641705, 1642264","2544, 203076, 1629629, 1630559, 1642261"
22400015,4,"101108, 1629640, 1630577, 1641705, 1642264","2544, 1626156, 1629216, 1631108, 1631132"
22400016,1,"1627832, 1628415, 1630224, 1630578, 1631095","201935, 1626181, 1627739, 1627826, 1627884"
22400016,2,"203500, 1630224, 1631106, 1641708, 1642263","201587, 1627826, 1629599, 1629611, 1629645"
22400016,3,"1627832, 1628415, 1630224, 1630578, 1631095","201935, 1626181, 1627739, 1627826, 1627884"
22400016,4,"1628988, 1631095, 1631106, 1641708, 1642263","1626181, 1627826, 1629599, 1629611, 1629645"
22400017,1,"1627742, 1629750, 1630527, 1630530, 1642274","203967, 1627750, 1629008, 1631128, 1631212"
22400017,2,"1629669, 1630526, 1630530, 1631288, 1641998","201566, 203967, 1627750, 1629008, 1631124"
22400017,3,"1627742, 1629750, 1630527, 1630530, 1642274","203967, 1627750, 1629008, 1631128, 1631212"
22400017,4,"1629669, 1630527, 1630530, 1631288, 1641998","201566, 1627750, 1628427, 1629008, 1641816"
22400018,1,"1628983, 1629652, 1630198, 1631114, 1641717","203994, 1626145, 1626164, 1629006, 1642346"
22400018,2,"1629026, 1630598, 1631114, 1641794, 1642349","203994, 1626145, 1626220, 1628420, 1629006"
22400018,3,"1628983, 1629652, 1630198, 1631114, 1641717","203994, 1626145, 1626164, 1629006, 1642346"
22400018,4,"1629026, 1629652, 1630598, 1631114, 1642349","203994, 1626145, 1626164, 1626220, 1629006, 1642346"
22400019,1,"201939, 203110, 203952, 1630322, 1631218","1628991, 1629634, 1630583, 1630590, 1642377"
22400019,2,"203110, 203937, 1630228, 1630541, 1641764","1628379, 1628991, 1629634, 1630590, 1642377"
22400019,3,"201939, 203110, 203952, 1631218, 1641764","1628991, 1629634, 1630583, 1630590, 1642377"
22400019,4,"203110, 203937, 1627741, 1630541, 1641764","1628379, 1628991, 1630217, 1630583, 1630590, 1630643"
22400020,1,"203458, 1627734, 1628368, 1628989, 1631099","201144, 203497, 203944, 1630162, 1630183"
22400020,2,"203926, 1626168, 1628368, 1629162, 1631099","201144, 203497, 1628978, 1629638, 1629675"
22400020,3,"203458, 1627734, 1628368, 1628989, 1631099","201144, 203497, 203944, 1630162, 1630183"
22400020,4,"1626168, 1627734, 1628368, 1629162, 1631099","201144, 203497, 1628978, 1629675"
22400020,5,"1626168, 1627734, 1628368, 1628989, 1631099","201144, 203497, 203944, 1630162, 1630183"
