GAME_ID,PERIOD,DURATION_SECONDS,PLUS_MINUS,PLUS_MINUS_PER_MINUTE,STINT_START_SECONDS,STINT_END_SECONDS
22400004,4,68,-4.0,-3.5294117647058822,587,519
22400004,4,129,1.0,0.46511627906976744,510,381
22400004,4,330,0.0,0.0,366,36
22400004,4,36,0.0,0.0,36,0
22400005,1,126,0.0,0.0,720,594
22400005,1,247,7.0,1.7004048582995952,594,347
22400005,1,50,-2.0,-2.4,336,286
22400005,1,29,-1.0,-2.0689655172413794,282,253
22400005,1,87,-1.0,-0.6896551724137931,253,166
22400005,1,117,2.0,1.0256410256410258,149,32
22400005,2,71,0.0,0.0,720,649
22400005,2,138,2.0,0.8695652173913043,631,493
22400005,2,189,-3.0,-0.9523809523809523,611,422
22400005,2,73,2.0,1.643835616438356,422,349
22400005,2,25,2.0,4.8,349,324
22400005,2,276,5.0,1.0869565217391304,322,46
22400005,3,326,-2.0,-0.36809815950920244,720,394
22400005,3,86,2.0,1.3953488372093024,377,291
22400005,3,2,2.0,60.0,272,270
22400005,3,15,0.0,0.0,270,255
22400005,3,44,0.0,0.0,239,195
22400005,3,25,0.0,0.0,181,156
22400005,3,150,3.0,1.2,150,0
22400005,4,23,2.0,5.217391304347826,720,697
22400005,4,56,5.0,5.357142857142858,686,630
22400005,4,85,-2.0,-1.4117647058823528,613,528
22400005,4,17,0.0,0.0,522,505
22400005,4,22,-4.0,-10.90909090909091,493,471
22400005,4,69,-2.0,-1.7391304347826086,448,379
22400005,4,23,-3.0,-7.826086956521739,370,347
22400005,4,213,3.0,0.8450704225352113,329,116
22400005,4,76,-1.0,-0.7894736842105263,109,33
22400006,1,412,-3.0,-0.4368932038834952,720,308
22400006,1,160,-7.0,-2.625,304,144
22400006,1,139,0.0,0.0,139,0
22400006,2,310,-5.0,-0.967741935483871,720,410
22400006,2,66,2.0,1.8181818181818183,397,331
22400006,2,40,0.0,0.0,315,275
22400006,2,69,-2.0,-1.7391304347826086,275,206
22400006,2,60,-1.0,-1.0,191,131
22400006,2,10,0.0,0.0,121,111
22400006,2,106,2.0,1.1320754716981132,111,5
22400006,3,297,3.0,0.6060606060606061,720,423
22400006,3,63,0.0,0.0,416,353
22400006,3,42,2.0,2.8571428571428568,346,304
22400006,3,40,0.0,0.0,284,244
22400006,3,49,-2.0,-2.4489795918367343,234,185
22400006,3,182,0.0,0.0,185,3
22400006,3,3,2.0,40.0,3,0
22400006,4,178,-5.0,-1.6853932584269662,720,542
22400006,4,82,1.0,0.7317073170731707,521,439
22400006,4,16,0.0,0.0,430,414
22400006,4,51,0.0,0.0,411,360
22400006,4,139,-2.0,-0.8633093525179857,360,221
22400006,4,176,1.0,0.34090909090909094,212,36
22400006,4,12,3.0,15.0,33,21
22400006,4,5,3.0,36.0,21,16
22400006,4,15,-2.0,-8.0,15,0
22400007,1,276,6.0,1.3043478260869565,720,444
22400007,1,30,0.0,0.0,436,406
22400007,1,15,-1.0,-4.0,406,391
22400007,1,63,6.0,5.7142857142857135,391,328
22400007,1,52,0.0,0.0,328,276
22400007,1,144,-1.0,-0.41666666666666663,266,122
22400007,2,140,0.0,0.0,720,580
22400007,2,49,-4.0,-4.897959183673469,580,531
22400007,2,63,-4.0,-3.8095238095238093,516,453
22400007,2,68,-6.0,-5.294117647058824,453,385
22400007,2,49,1.0,1.2244897959183672,369,320
22400007,2,21,0.0,0.0,320,299
22400007,2,9,0.0,0.0,279,270
22400007,2,59,-3.0,-3.050847457627119,258,199
22400007,2,86,3.0,2.0930232558139537,199,113
22400007,2,105,3.0,1.7142857142857142,113,8
22400007,2,8,0.0,0.0,8,0
22400007,3,226,7.0,1.8584070796460177,720,494
22400007,3,60,4.0,4.0,484,424
22400007,3,85,-1.0,-0.7058823529411764,424,339
22400007,3,37,-3.0,-4.864864864864865,329,292
22400007,3,11,0.0,0.0,292,281
22400007,3,119,2.0,1.0084033613445378,281,162
22400007,4,176,-4.0,-1.3636363636363638,720,544
22400007,4,31,-1.0,-1.935483870967742,544,513
22400007,4,122,-3.0,-1.4754098360655736,513,391
22400007,4,63,-4.0,-3.8095238095238093,379,316
22400007,4,33,-2.0,-3.6363636363636367,306,273
22400007,4,16,0.0,0.0,273,257
22400007,4,116,6.0,3.103448275862069,238,122
22400007,4,110,2.0,1.0909090909090908,110,0
22400008,1,305,-4.0,-0.7868852459016393,720,415
22400008,1,34,-1.0,-1.7647058823529411,393,359
22400008,1,198,3.0,0.9090909090909092,457,259
22400008,1,29,2.0,4.137931034482759,234,205
22400008,1,17,3.0,10.588235294117649,194,177
22400008,1,101,-4.0,-2.376237623762376,157,56
22400008,1,44,0.0,0.0,49,5
22400008,2,209,0.0,0.0,720,511
22400008,2,43,0.0,0.0,505,462
22400008,2,42,-2.0,-2.8571428571428568,449,407
22400008,2,43,0.0,0.0,399,356
22400008,2,101,-1.0,-0.594059405940594,349,248
22400008,2,96,1.0,0.625,248,152
22400008,2,99,1.0,0.6060606060606061,152,53
22400008,2,43,0.0,0.0,43,0
22400008,3,177,3.0,1.0169491525423728,720,543
22400008,3,152,1.0,0.39473684210526316,543,391
22400008,3,128,1.0,0.46875,391,263
22400008,3,31,0.0,0.0,253,222
22400008,3,129,4.0,1.8604651162790697,208,79
22400008,3,79,2.0,1.5189873417721518,79,0
22400008,4,58,-6.0,-6.206896551724138,720,662
22400008,4,104,1.0,0.576923076923077,641,537
22400008,4,112,-1.0,-0.5357142857142857,537,425
22400008,4,69,-3.0,-2.608695652173913,425,356
22400008,4,130,5.0,2.307692307692308,356,226
22400008,4,4,1.0,15.0,226,222
22400008,4,133,-3.0,-1.3533834586466165,222,89
22400008,4,63,-2.0,-1.9047619047619047,63,0
22400009,1,335,-1.0,-0.1791044776119403,720,385
22400009,1,12,-2.0,-10.0,374,362
22400009,1,106,1.0,0.5660377358490566,362,256
22400009,1,83,1.0,0.7228915662650602,250,167
22400009,1,11,0.0,0.0,163,152
22400009,1,152,2.0,0.7894736842105263,152,0
22400009,2,214,-6.0,-1.6822429906542056,720,506
22400009,2,42,-3.0,-4.285714285714286,506,464
22400009,2,52,5.0,5.769230769230769,457,405
22400009,2,18,-1.0,-3.333333333333333,396,378
22400009,2,189,-1.0,-0.31746031746031744,378,189
22400009,2,12,-1.0,-5.0,178,166
22400009,2,78,0.0,0.0,166,88
22400009,3,298,-11.0,-2.214765100671141,720,422
22400009,3,95,-2.0,-1.263157894736842,413,318
22400009,3,43,0.0,0.0,307,264
22400009,3,57,5.0,5.263157894736842,255,198
22400009,3,20,2.0,6.0,188,168
22400009,3,146,-3.0,-1.2328767123287672,146,0
22400009,4,247,-1.0,-0.24291497975708504,720,473
22400009,4,115,-6.0,-3.1304347826086953,473,358
22400009,4,332,7.0,1.2650602409638554,341,9
22400009,4,9,0.0,0.0,9,0
22400010,1,286,3.0,0.6293706293706294,720,434
22400010,1,49,0.0,0.0,434,385
22400010,1,77,1.0,0.7792207792207793,370,293
